ablowing|Swelling; distension, inflation.
un-i-selth|Unhappiness, misfortune; an instance of this. Cf. unselth, n.
un-i-withere|Bad weather; a storm or tempest.
unkith|A strange or foreign land.
unlede|Wretchedness, misery; misfortune.
unlust|Lack of pleasure; grief, distress; weariness, tedium.
unmethe|Immoderation, excess. Also: transgression, fault.
unmightiness|Weakness, feebleness; powerlessness, impotence; inability.
unsaught|Discord, dissension; hostile speech.
unsele|Unhappiness, misery; misfortune, ill luck.
unshamefulness|Shamelessness.
unsib|Enmity, hostility; dissension, strife, war. Cf. un-i-sib, n.
unthank|Absence of gratitude or good-will; unfavourable thought or feeling; ill-will, disfavour; displeasure expressed in actions or words.
untholemoodness|Impatience.
untrumness|Weakness, infirmity; ill-health.
unwill|Used adverbially, in genitive (usually with possessive pronoun): Against one's will; unwillingly.
unwite|A foolish or ignorant person.
unwrench|An evil or base trick, artifice, or turn; a vice or sin.
upping|Manifestation, making known
utter man|= outward, adj. A.3b (Cf. outer, adj. & n.²compounds C.2.)
waedle|Poor, needy.
waldend|A ruler, a lord, a master. Chiefly with reference to God. Cf. wielder, n. 3.
walm|(In Old English only.) Surging or heaving movement (of waves). Chiefly in phrases like wæteres, ýða wielm, often used poet, for ‘sea’ or ‘waves’.
wal-rest|The resting place of the slain; the grave; (also) death.
wal-spear|A battle-spear.
wandale|A division of land (? of the breadth of a ‘wand’ or perch).
wanspeed|Ill-success; adversity, poverty.
ward|A watchman, guard, keeper, warden.
ware|Watchful care, heed; safe-keeping, defence, protection. on ware, on one's guard, cautious.
waribreed|In Old English some kind of ulcer or eruption; in 16–18th centuries = warble, n.² 2.
warpfat|? =, (warping-fat, n., warping-trough, n.).
wary|A felon, outlaw, villain.
wastum|Fruit, crop, produce; abundance of produce.
water-kin|a. Bodies of water collectively; b. the nature of water; cf. water-kind, n. (a).
wax-bred|A wax tablet. Also transferred a ‘table’, list.
wayleet|A place where two or more roads meet.
wealy|Wealthy, rich, materially prosperous; (perhaps also) powerful, generous. Of a place: opulent, magnificent.
wed-breach|Breach of covenant (Old English), adultery.
Wednesnight|The night before Wednesday, Tuesday night. Also as adv.
wel-dede|A good deed; a benefit.
wenchel|A child (of either sex); also, a servant or slave; also, a common woman.
wered|A band, troop, company, host.
wermod|= wormwood, n.
weste land|Wasteland, desert, wilderness; an area of this.
wete|Moisture; a liquid, liquor, drink.
wharf|A crowd, assembly.
whitch|A chest, coffer, ark (= hutch, n. 1a, 1b); (also) a coffin. In later use: the body of a wagon (perhaps cf. hutch, n. 3f).
whon|Few, a few.
widge|A horse, a steed; (in later use spec.) a mare. Also: an ass.
wield|Command, control; governance. Chiefly in at, in, on (one's) wield. Cf. phrases P.a and i-wald, n.
wieler|A sorcerer, a diviner. Also: a deceiver.
wifething|Sexual intercourse with a woman.
wike|An office, duty, function.
wilning|Desire.
wind rese|A rush of wind; a gale.
winyard|= vineyard, n. (literal and figurative).
wissing|Guidance, direction, instruction.
withbind|A name for certain plants having pliant stems.
withersake|An adversary, enemy.
witherwin|An enemy, adversary; spec. the Adversary, the Devil.
witieng|Prophecy. Also attributive.
witship|Witness, testimony; knowledge.
wlat|Nausea, loathing, disgust.
wlite|Beauty; splendour.
wlonk|Proud, haughty.
wokeness|= weakness, n. (in various senses). In Old English also: low status or value, lowliness, inferiority.
woning|Moaning, lamentation.
wood-honey|Wild honey.
woodwose|A wild man of the woods; a satyr, faun; a person dressed to represent such a being in a pageant. Cf. wild man, n.
wool-weigh|Scales for weighing wool.
world good|A worldly possession; (also) worldly property; cf. world's good at world, n. compounds C.2, God's good, n. 1a.
worldship|A worldly affair or matter; (also) worldly concerns, worldly things.
worm-kin|The race of worms or serpents, or a species of these.
worthing|The action of honouring or worshipping; honour, worship. Also: an occasion of honouring or worshipping; a celebration, a festival.
worthmint|Honour; worship, reverence; glory.
wough|Wrong, evil; injury, harm.
wrake|Suffering that comes or is inflicted as a retribution or penalty; retributive punishment, vengeance, revenge.
wrethe|Violent anger; = wrath, n. 1. Also in the phrase be (= by), but, for, of, in, on, through, with wrethe.
wroot|The snout of a swine, etc.; a proboscis.
wurp|A (stone's) throw. Also figurative in eie wurp, a glance of the eye.
yarking|Preparation.
yedding|A song; a speech, discourse; spec. a ‘gest’ or romance in verse.
yekth|Itching, itch.
yemelest|Heedlessness, negligence.
yetter|A person who casts metal; a founder.
yfere|A companion, mate, fellow, associate.
yisel|A hostage.
yleve|Belief, faith.
ylikeness|The external form or outward appearance of something; semblance, guise. Cf. likeness, n. 1a.
ymong|Mixture (Old English only); company, assembly.
yong|Going; gait; travelling, journey; course.
